event_id,announcement_date,country,census_country_code,census_country_name,annex_i_tariff_pct,imports_for_consumption_ttm_usd,annex_ii_excluded_ttm_usd,annex_ii_excluded_share_pct,preliminary_after_annex_ii_ttm_usd,preliminary_annex2_only_shock_usd,regression_eligible,pending_legal_filters
US_RECIPROCAL_2025_04_02,2025-04-02,Japan,5880,JAPAN,24.0,150042480941.0,12083408112.0,8.05332466,137959072829.0,-33110177478.96,false,section232_steel_aluminum|section232_auto_parts|us_content_adjustment
US_RECIPROCAL_2025_04_02,2025-04-02,South Korea,5800,"KOREA, SOUTH",25.0,130435019334.0,14525565676.0,11.13624681,115909453658.0,-28977363414.5,false,section232_steel_aluminum|section232_auto_parts|us_content_adjustment
US_RECIPROCAL_2025_04_02,2025-04-02,India,5330,INDIA,26.0,89002651256.0,18445995096.0,20.72521979,70556656160.0,-18344730601.6,false,section232_steel_aluminum|section232_auto_parts|us_content_adjustment
US_RECIPROCAL_2025_04_02,2025-04-02,Indonesia,5600,INDONESIA,32.0,28275231854.0,1562676264.0,5.52666119,26712555590.0,-8548017788.8,false,section232_steel_aluminum|section232_auto_parts|us_content_adjustment
US_RECIPROCAL_2025_04_02,2025-04-02,Malaysia,5570,MALAYSIA,24.0,52512400928.0,10614295591.0,20.21293143,41898105337.0,-10055545280.88,false,section232_steel_aluminum|section232_auto_parts|us_content_adjustment
US_RECIPROCAL_2025_04_02,2025-04-02,Thailand,5490,THAILAND,36.0,63682004202.0,2715291497.0,4.26382858,60966712705.0,-21948016573.8,false,section232_steel_aluminum|section232_auto_parts|us_content_adjustment
US_RECIPROCAL_2025_04_02,2025-04-02,Switzerland,4419,SWITZERLAND,31.0,80689589637.0,23659775431.0,29.32196773,57029814206.0,-17679242403.86,false,section232_steel_aluminum|section232_auto_parts|us_content_adjustment
US_RECIPROCAL_2025_04_02,2025-04-02,Norway,4039,NORWAY,15.0,6624489917.0,2442218778.0,36.86651816,4182271139.0,-627340670.85,false,section232_steel_aluminum|section232_auto_parts|us_content_adjustment
US_RECIPROCAL_2025_04_02,2025-04-02,South Africa,7910,SOUTH AFRICA,30.0,15796292143.0,5476919887.0,34.6721866,10319372256.0,-3095811676.8,false,section232_steel_aluminum|section232_auto_parts|us_content_adjustment
US_RECIPROCAL_2025_04_02,2025-04-02,Philippines,5650,PHILIPPINES,17.0,14104695225.0,1190850787.0,8.44293881,12913844438.0,-2195353554.46,false,section232_steel_aluminum|section232_auto_parts|us_content_adjustment
US_RECIPROCAL_2025_04_02,2025-04-02,Taiwan,5830,TAIWAN,32.0,118153291009.0,14331566217.0,12.12963777,103821724792.0,-33222951933.44,false,section232_steel_aluminum|section232_auto_parts|us_content_adjustment
US_RECIPROCAL_2025_04_02,2025-04-02,Israel,5081,ISRAEL,17.0,22808153405.0,7211189260.0,31.61671676,15596964145.0,-2651483904.65,false,section232_steel_aluminum|section232_auto_parts|us_content_adjustment
