event_id,country,census_country_code,annex_i_tariff_pct,imports_for_consumption_ttm_usd,annex_ii_value_usd,auto_value_usd,steel_full_value_scope_usd,aluminum_full_value_scope_usd,full_exclusion_union_usd,residual_before_content_allocation_usd,steel_content_sensitive_article_value_usd,aluminum_content_sensitive_article_value_usd,content_sensitive_union_article_value_usd,gdp_usd_weo_oct2024_2024,observable_upper_bound_impact_pct_gdp_m0_q0,impact_pct_gdp_if_content_pool_100pct_metal_q0,point_estimate_eligible,interval_sensitivity_eligible
US_RECIPROCAL_2025_04_02,Japan,5880,24.0,150042480941.0,12083408112.0,56652739393.0,2818999805.0,161929063.0,71664914348.0,78377566593.0,429013443.0,3659533524.0,4075552287.0,4070094000000.0,-0.4621666227,-0.438134437,false,true
US_RECIPROCAL_2025_04_02,South Korea,5800,25.0,130435019334.0,14525565676.0,50042191136.0,4994177068.0,951212840.0,70503890788.0,59931128546.0,693873052.0,2900700147.0,3514162090.0,1869916000000.0,-0.8012542882,-0.7542714012,false,true
US_RECIPROCAL_2025_04_02,India,5330,26.0,89002651256.0,18445995096.0,2936426344.0,2698263161.0,628052484.0,24697255474.0,64305395782.0,385428743.0,1303483380.0,1542101350.0,3889130000000.0,-0.4299008494,-0.4195914395,false,true
US_RECIPROCAL_2025_04_02,Indonesia,5600,32.0,28275231854.0,1562676264.0,1670916377.0,325085453.0,100297820.0,3648785554.0,24626446300.0,58254760.0,135438536.0,162131482.0,1402590000000.0,-0.5618507772,-0.5581517579,false,true
US_RECIPROCAL_2025_04_02,Malaysia,5570,24.0,52512400928.0,10614295591.0,2807090355.0,393655522.0,137194755.0,13945769671.0,38566631257.0,49785452.0,1251054784.0,1266184965.0,439748000000.0,-2.1048399314,-2.0357357191,false,true
US_RECIPROCAL_2025_04_02,Thailand,5490,36.0,63682004202.0,2715291497.0,13390440165.0,1106373433.0,475006042.0,17672790334.0,46009213868.0,309746842.0,1421669951.0,1492594986.0,528919000000.0,-3.1315413121,-3.0299502944,false,true
US_RECIPROCAL_2025_04_02,Switzerland,4419,31.0,80689589637.0,23659775431.0,441476431.0,141373823.0,50036012.0,24292377395.0,56397212242.0,13918270.0,600571958.0,609253222.0,942265000000.0,-1.8554372491,-1.8353931533,false,true
US_RECIPROCAL_2025_04_02,Norway,4039,15.0,6624489917.0,2442218778.0,120670829.0,34396255.0,59240146.0,2656350914.0,3968139003.0,3590239.0,131126590.0,133632129.0,503752000000.0,-0.1181575161,-0.1141784114,false,true
US_RECIPROCAL_2025_04_02,South Africa,7910,30.0,15796292143.0,5476919887.0,2511633791.0,177886332.0,74115736.0,8239516491.0,7556775652.0,3022824.0,42500385.0,44953391.0,403045000000.0,-0.5624763229,-0.5591302902,false,true
US_RECIPROCAL_2025_04_02,Philippines,5650,17.0,14104695225.0,1190850787.0,2082825814.0,31037696.0,16692558.0,3321156877.0,10783538348.0,11431349.0,231087845.0,237987653.0,470062000000.0,-0.3899914307,-0.3813845021,false,true
US_RECIPROCAL_2025_04_02,Taiwan,5830,32.0,118153291009.0,14331566217.0,30252430429.0,4432303562.0,314254025.0,49075189148.0,69078101861.0,494039218.0,3602040903.0,3675812932.0,775017000000.0,-2.8521945448,-2.7004223723,false,true
US_RECIPROCAL_2025_04_02,Israel,5081,17.0,22808153405.0,7211189260.0,362125131.0,95510742.0,11312915.0,7680138048.0,15128015357.0,40207218.0,557794213.0,595468657.0,528067000000.0,-0.4870144528,-0.4678445991,false,true
