country,announced_reciprocal_rate_pct,source_group,event_id
Algeria,30,Annex I,US_RECIPROCAL_2025_04_02
Angola,32,Annex I,US_RECIPROCAL_2025_04_02
Bangladesh,37,Annex I,US_RECIPROCAL_2025_04_02
Bosnia and Herzegovina,35,Annex I,US_RECIPROCAL_2025_04_02
Botswana,37,Annex I,US_RECIPROCAL_2025_04_02
Brunei,24,Annex I,US_RECIPROCAL_2025_04_02
Cambodia,49,Annex I,US_RECIPROCAL_2025_04_02
Cameroon,11,Annex I,US_RECIPROCAL_2025_04_02
Chad,13,Annex I,US_RECIPROCAL_2025_04_02
China,34,Annex I,US_RECIPROCAL_2025_04_02
Cote d'Ivoire,21,Annex I,US_RECIPROCAL_2025_04_02
Democratic Republic of the Congo,11,Annex I,US_RECIPROCAL_2025_04_02
Equatorial Guinea,13,Annex I,US_RECIPROCAL_2025_04_02
European Union,20,Annex I,US_RECIPROCAL_2025_04_02
Falkland Islands,41,Annex I,US_RECIPROCAL_2025_04_02
Fiji,32,Annex I,US_RECIPROCAL_2025_04_02
Guyana,38,Annex I,US_RECIPROCAL_2025_04_02
India,26,Annex I,US_RECIPROCAL_2025_04_02
Indonesia,32,Annex I,US_RECIPROCAL_2025_04_02
Iraq,39,Annex I,US_RECIPROCAL_2025_04_02
Israel,17,Annex I,US_RECIPROCAL_2025_04_02
Japan,24,Annex I,US_RECIPROCAL_2025_04_02
Jordan,20,Annex I,US_RECIPROCAL_2025_04_02
Kazakhstan,27,Annex I,US_RECIPROCAL_2025_04_02
Laos,48,Annex I,US_RECIPROCAL_2025_04_02
Lesotho,50,Annex I,US_RECIPROCAL_2025_04_02
Libya,31,Annex I,US_RECIPROCAL_2025_04_02
Liechtenstein,37,Annex I,US_RECIPROCAL_2025_04_02
Madagascar,47,Annex I,US_RECIPROCAL_2025_04_02
Malawi,17,Annex I,US_RECIPROCAL_2025_04_02
Malaysia,24,Annex I,US_RECIPROCAL_2025_04_02
Mauritius,40,Annex I,US_RECIPROCAL_2025_04_02
Moldova,31,Annex I,US_RECIPROCAL_2025_04_02
Mozambique,16,Annex I,US_RECIPROCAL_2025_04_02
Myanmar (Burma),44,Annex I,US_RECIPROCAL_2025_04_02
Namibia,21,Annex I,US_RECIPROCAL_2025_04_02
Nauru,30,Annex I,US_RECIPROCAL_2025_04_02
Nicaragua,18,Annex I,US_RECIPROCAL_2025_04_02
Nigeria,14,Annex I,US_RECIPROCAL_2025_04_02
North Macedonia,33,Annex I,US_RECIPROCAL_2025_04_02
Norway,15,Annex I,US_RECIPROCAL_2025_04_02
Pakistan,29,Annex I,US_RECIPROCAL_2025_04_02
Philippines,17,Annex I,US_RECIPROCAL_2025_04_02
Serbia,37,Annex I,US_RECIPROCAL_2025_04_02
South Africa,30,Annex I,US_RECIPROCAL_2025_04_02
South Korea,25,Annex I,US_RECIPROCAL_2025_04_02
Sri Lanka,44,Annex I,US_RECIPROCAL_2025_04_02
Switzerland,31,Annex I,US_RECIPROCAL_2025_04_02
Syria,41,Annex I,US_RECIPROCAL_2025_04_02
Taiwan,32,Annex I,US_RECIPROCAL_2025_04_02
Thailand,36,Annex I,US_RECIPROCAL_2025_04_02
Tunisia,28,Annex I,US_RECIPROCAL_2025_04_02
Vanuatu,22,Annex I,US_RECIPROCAL_2025_04_02
Venezuela,15,Annex I,US_RECIPROCAL_2025_04_02
Vietnam,46,Annex I,US_RECIPROCAL_2025_04_02
Zambia,17,Annex I,US_RECIPROCAL_2025_04_02
Zimbabwe,18,Annex I,US_RECIPROCAL_2025_04_02
