category,hts_pattern,source,notes
automobile,87032201,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87032301,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87032401,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87033101,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87033201,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87033301,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87034000,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87035000,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87036000,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87037000,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87038000,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87039001,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87042101,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87043101,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87044100,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87045100,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
automobile,87046000,Proclamation 10908 Annex I / U.S. note 33(b),8-digit HTSUS subheading
auto_part,4009120020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,4009220020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,4009320020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,4009420020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,40111010,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,40111050,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,40112010,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,40121940,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,40121980,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,40122060,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,4013100010,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,4013100020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,4016996010,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,70072151,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,70091000,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,732010,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,73202010,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,83012000,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,83021030,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,830230,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84073100,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,840732,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,840733,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,840734,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84082020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8409911040,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8409991040,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84133010,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84133090,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84139110,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8413919010,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8414308030,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84145930,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8414596540,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84148005,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84152000,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84212300,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84213200,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84254900,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84269100,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8431100090,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8471,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,84821010,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8482105044,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
